title,calory_count,proteins,fats,carbohydrates
Крупа ячневая,313,10.0,1.3,65.4
Крыжовник,45,0.7,0.2,9.1
Ксилит пищевой,367,0.0,0.0,97.9
Кубера,88,17.5,2.0,0.0
Кукуруза,342,10.1,5.9,66.4
Кукурузная крупа,328,8.3,1.2,71.0
Кукурузная мука,331,7.2,1.5,72.1
Кукурузные палочки (Кузя),496,4.3,24.2,65.4
Кукурузные хлопья,325,8.3,1.2,75.0
Кумыс из кобыльего молока,50,2.1,1.9,5.0
Кумыс коровий,44,2.1,1.9,5.0
Кунжут-семя,565,19.4,48.7,12.2
Куриная грудка (филе),113,23.6,1.9,0.4
Куриный окорочок,184,21.3,11.0,0.1
Курица,238,18.2,18.4,0.0
Курица в собственном соку,183,23.2,9.9,0.4
Курок,71,15.8,0.9,0.0
Куропатка,253,18.0,20.0,0.5
Лавровый лист,313,7.61,8.36,48.67
Лангуст (мясо шеек),88,17.5,2.0,0.0
Легкие говяжьи,103,15.2,4.7,0.0
Легкое свиное,91,14.8,3.6,0.0
Ледяная рыба,90,17.7,2.2,0.0
Лекгое баранье,83,15.6,2.3,0.0
Лемонема,67,15.9,0.4,0.0
Летрин,84,20.2,0.4,0.0
Лещ,105,17.1,4.4,0.0
Лещ в томатном соусе,124,15.3,5.1,4.0
Лещ вяленый,221,42.0,5.9,0.0
Лещ горячего копчения,172,32.8,4.5,0.0
Лещина,653,13.0,62.6,9.3
Лещ каспийский,88,17.5,2.0,0.0
Лещ морской,105,21.3,6.4,0.0
Лещ холодного копчения,160,29.7,4.6,0.0
Ликер Вишневый,299,0.0,0.0,40.0
Лимон,34,0.9,0.1,3.0
Лимонная кислота,0,0.0,0.0,0.0
Лимонник,11,1.0,0.0,1.9
Лисички,19,1.5,1.0,1.0
Листья черники,0,0.0,0.0,0.0
Лихня,88,17.5,2.0,0.0
Лосось атлантический (семга),153,20.0,8.1,0.0
Лук зеленый,20,1.3,0.1,3.2
Лук порей,36,2.0,0.2,6.3
Лук репчатый,41,1.4,0.2,8.2
Лукум сбивной,316,0.8,0.7,79.4
